Segmento,Atributo,Importancia
Business,Price,24.409256981594822
Business,Baggage,14.558816377211642
Business,Seat,8.406152915377554
Business,Flight,37.89945843546232
Business,Flexible,5.022131915855368
Business,Departure,9.704183374498296
Leisure,Price,39.62353021520669
Leisure,Baggage,17.769133405108025
Leisure,Seat,5.999745980708323
Leisure,Flight,26.730384646119994
Leisure,Flexible,4.310204075217945
Leisure,Departure,5.567001677639043
Low Cost,Price,59.6502262146153
Low Cost,Baggage,13.170350354077916
Low Cost,Seat,2.5880053159344434
Low Cost,Flight,20.318204452942744
Low Cost,Flexible,1.944357155982331
Low Cost,Departure,2.3288565064472624
